rep_population,regime,type,sex,regimetype,fly,size_mm
RP2,aFLX,1X,m,fFLXm,23,0.873015873
RP2,aFLX,1X,m,fFLXm,24,0.873015873
RP2,aFLX,1X,m,fFLXm,25,0.873015873
RP2,aFLX,1X,m,fFLXm,26,0.873015873
RP2,aFLX,1X,m,fFLXm,27,0.873015873
RP2,aFLX,1X,m,fFLXm,28,0.873015873
RP2,aFLX,1X,m,fFLXm,29,0.873015873
RP2,aFLX,1X,m,fFLXm,30,0.873015873
RP2,aFLX,1X,m,fFLXm,31,0.873015873
RP2,aFLX,1X,m,fFLXm,32,0.888888889
RP2,aFLX,1X,m,fFLXm,33,0.873015873
RP2,aFLX,1X,m,fFLXm,34,0.873015873
RP2,aFLX,1X,m,fFLXm,35,0.873015873
RP2,bCFM,2X,f,cCFM2X,1,1
RP2,bCFM,2X,f,cCFM2X,2,0.984126984
RP2,bCFM,2X,f,cCFM2X,3,1
RP2,bCFM,2X,f,cCFM2X,4,0.968253968
RP2,bCFM,2X,f,cCFM2X,5,0.984126984
RP2,bCFM,2X,f,cCFM2X,6,0.984126984
RP2,bCFM,2X,f,cCFM2X,7,1.031746032
RP2,bCFM,2X,f,cCFM2X,8,0.952380952
RP2,bCFM,2X,f,cCFM2X,9,1.015873016
RP2,bCFM,2X,f,cCFM2X,10,1.015873016
RP2,bCFM,2X,f,cCFM2X,11,1
RP2,bCFM,2X,f,cCFM2X,12,1
RP2,bCFM,2X,f,cCFM2X,13,1.015873016
RP2,bCFM,2X,f,cCFM2X,14,1.015873016
RP2,bCFM,2X,f,cCFM2X,15,0.952380952
RP2,bCFM,2X,f,cCFM2X,16,0.952380952
RP2,bCFM,2X,f,cCFM2X,17,1
RP2,bCFM,2X,f,cCFM2X,18,1.031746032
RP2,bCFM,2X,f,cCFM2X,19,1.031746032
RP2,bCFM,2X,f,cCFM2X,20,0.952380952
RP2,bCFM,2X,f,cCFM2X,21,0.984126984
RP2,bCFM,2X,f,cCFM2X,22,1.015873016
RP2,bCFM,2X,f,cCFM2X,23,1
RP2,bCFM,2X,f,cCFM2X,24,0.952380952
RP2,bCFM,2X,f,cCFM2X,25,0.984126984
RP2,bCFM,2X,f,cCFM2X,26,0.952380952
RP2,bCFM,2X,f,cCFM2X,27,0.984126984
RP2,bCFM,2X,f,cCFM2X,28,0.952380952
RP2,bCFM,2X,f,cCFM2X,29,0.984126984
RP2,bCFM,2X,f,cCFM2X,30,0.984126984
RP2,bCFM,2X,f,cCFM2X,31,0.968253968
RP2,bCFM,2X,f,cCFM2X,32,0.952380952
RP2,bCFM,1X,f,dCFM1X,1,0.952380952
RP2,bCFM,1X,f,dCFM1X,2,0.952380952
RP2,bCFM,1X,f,dCFM1X,3,0.968253968
RP2,bCFM,1X,f,dCFM1X,4,1
RP2,bCFM,1X,f,dCFM1X,5,0.952380952
RP2,bCFM,1X,f,dCFM1X,6,0.984126984
RP2,bCFM,1X,f,dCFM1X,7,0.984126984
RP2,bCFM,1X,f,dCFM1X,8,1
RP2,bCFM,1X,f,dCFM1X,9,0.984126984
RP2,bCFM,1X,f,dCFM1X,10,1
RP2,bCFM,1X,f,dCFM1X,11,0.984126984
RP2,bCFM,1X,f,dCFM1X,12,0.984126984
RP2,bCFM,1X,f,dCFM1X,13,0.984126984
RP2,bCFM,1X,f,dCFM1X,14,1.031746032
RP2,bCFM,1X,f,dCFM1X,15,1
RP2,bCFM,1X,f,dCFM1X,16,0.984126984
RP2,bCFM,1X,f,dCFM1X,17,0.984126984
RP2,bCFM,1X,f,dCFM1X,18,1.015873016
RP2,bCFM,1X,f,dCFM1X,19,0.984126984
RP2,bCFM,1X,f,dCFM1X,20,1.015873016
RP2,bCFM,1X,f,dCFM1X,21,0.968253968
RP2,bCFM,1X,f,dCFM1X,22,1.031746032
RP2,bCFM,1X,f,dCFM1X,23,1
RP2,bCFM,1X,f,dCFM1X,24,1
RP2,bCFM,1X,f,dCFM1X,25,1
RP2,bCFM,1X,f,dCFM1X,26,0.984126984
RP2,bCFM,1X,f,dCFM1X,27,0.968253968
RP2,bCFM,1X,f,dCFM1X,28,0.984126984
RP2,bCFM,1X,f,dCFM1X,29,1
RP2,bCFM,1X,f,dCFM1X,30,1
RP2,bCFM,1X,f,dCFM1X,31,1.031746032
RP2,bCFM,1X,f,dCFM1X,32,1.015873016
RP2,bCFM,1X,m,gCFMm,1,0.857142857
RP2,bCFM,1X,m,gCFMm,2,0.873015873
RP2,bCFM,1X,m,gCFMm,3,0.857142857
RP2,bCFM,1X,m,gCFMm,4,0.873015873
RP2,bCFM,1X,m,gCFMm,5,0.841269841
RP2,bCFM,1X,m,gCFMm,6,0.857142857
RP2,bCFM,1X,m,gCFMm,7,0.873015873
RP2,bCFM,1X,m,gCFMm,8,0.857142857
RP2,bCFM,1X,m,gCFMm,9,0.841269841
RP2,bCFM,1X,m,gCFMm,10,0.857142857
RP2,bCFM,1X,m,gCFMm,11,0.841269841
RP2,bCFM,1X,m,gCFMm,12,0.857142857
RP2,bCFM,1X,m,gCFMm,13,0.857142857
RP2,bCFM,1X,m,gCFMm,14,0.873015873
RP2,bCFM,1X,m,gCFMm,15,0.841269841
RP2,bCFM,1X,m,gCFMm,16,0.873015873
RP2,bCFM,1X,m,gCFMm,17,0.857142857
RP2,bCFM,1X,m,gCFMm,18,0.841269841
RP2,bCFM,1X,m,gCFMm,19,0.873015873
RP2,bCFM,1X,m,gCFMm,20,0.857142857
RP2,bCFM,1X,m,gCFMm,21,0.857142857
RP2,bCFM,1X,m,gCFMm,22,0.857142857
RP2,bCFM,1X,m,gCFMm,23,0.873015873
RP2,bCFM,1X,m,gCFMm,24,0.857142857
RP2,bCFM,1X,m,gCFMm,25,0.857142857
RP2,bCFM,1X,m,gCFMm,26,0.857142857
RP2,bCFM,1X,m,gCFMm,27,0.857142857
RP2,bCFM,1X,m,gCFMm,28,0.825396825
RP2,bCFM,1X,m,gCFMm,29,0.857142857
RP2,bCFM,1X,m,gCFMm,30,0.857142857
RP2,bCFM,1X,m,gCFMm,31,0.857142857
RP2,bCFM,1X,m,gCFMm,32,0.857142857
RP2,bCFM,1X,m,gCFMm,33,0.841269841
RP2,bCFM,1X,m,gCFMm,34,0.857142857
RP2,bCFM,1X,m,gCFMm,35,0.857142857
RP2,bCFM,1X,m,gCFMm,36,0.857142857
RP2,bCFM,1X,m,gCFMm,37,0.873015873
RP2,bCFM,1X,m,gCFMm,38,0.857142857
RP2,bCFM,1X,m,gCFMm,39,0.857142857
RP2,bCFM,1X,m,gCFMm,40,0.857142857
RP2,cCwt,0X,f,eCwtf,1,0.984126984
RP2,cCwt,0X,f,eCwtf,2,0.952380952
RP2,cCwt,0X,f,eCwtf,3,1.031746032
RP2,cCwt,0X,f,eCwtf,4,1
RP2,cCwt,0X,f,eCwtf,5,1.015873016
RP2,cCwt,0X,f,eCwtf,6,1.015873016
RP2,cCwt,0X,f,eCwtf,7,1.015873016
RP2,cCwt,0X,f,eCwtf,8,0.952380952
RP2,cCwt,0X,f,eCwtf,9,1
